"income"
4.8
5.3
7.9
8.4
8.8
9.1
9.9
10.4
10.8
11.1
11.6
12.4
12.4
13.3
14.1
15.1
15.4
15.6
16.8
16.9
17
17.1
17.4
17.7
17.7
17.7
17.8
17.9
18.2
19.1
20
20.5
21.2
21.4
21.7
22.1
22.3
22.4
23.9
26.1
26.3
26.8
27.1
27.5
27.7
28.5
31.5
33.2
34.7
35.2
36.5
36.8
38.3
39.2
41.3
41.5
43.3
43.6
44.1
44.1
44.9
46
47.7
48.1
49.2
49.7
49.9
50.2
50.4
51.6
52.9
53.9
54.8
57
57.5
58.4
59.9
61
61.9
62.3
64.6
65.3
65.6
65.9
66.6
72.2
72.2
75.1
77.5
80.6
81.4
84.9
87.6
90
90.9
93.6
93.9
96
106.2
111.4
112.7
112.9
123.5
124.1
127.7
131.8
140.2
141.8
145.9
148.2
153.4
162.3
178
183.6
189.2
198.6
201.9
221.8
260.8
352
